id,category,region,operator,url,enabled,direct,direct_title,business_program
srem,KFS,wielkopolskie,PUP Śrem,https://srem.praca.gov.pl/strona-glowna,true
sroda,KFS,wielkopolskie,PUP Środa Wielkopolska,https://srodawielkopolska.praca.gov.pl/strona-glowna,true
turek,KFS,wielkopolskie,PUP Turek,https://turek.praca.gov.pl/strona-glowna,true
wagrowiec,KFS,wielkopolskie,PUP Wągrowiec,https://wagrowiec.praca.gov.pl/strona-glowna,true
wolsztyn,KFS,wielkopolskie,PUP Wolsztyn,https://wolsztyn.praca.gov.pl/strona-glowna,true
wrzesnia,KFS,wielkopolskie,PUP Września,https://wrzesnia.praca.gov.pl/strona-glowna,true
zlotow,KFS,wielkopolskie,PUP Złotów,https://zlotow.praca.gov.pl/strona-glowna,true
fe_kujawsko,regionalne,kujawsko-pomorskie,Fundusze Europejskie dla Kujaw i Pomorza,https://funduszeue.kujawsko-pomorskie.pl/nabory/,true
kpfp_rfs2_bur,BUR,kujawsko-pomorskie,Kujawsko-Pomorski Fundusz Pożyczkowy,https://kpfp.org.pl/oferta-finansowania/regionalny-fundusz-szkoleniowy/,true,true,Regionalny Fundusz Szkoleniowy II – aktywna oferta
aleksandrow,KFS,kujawsko-pomorskie,PUP Aleksandrów Kujawski,https://aleksandrowkujawski.praca.gov.pl/strona-glowna,true
brodnica,KFS,kujawsko-pomorskie,PUP Brodnica,https://brodnica.praca.gov.pl/strona-glowna,true
bydgoszcz,KFS,kujawsko-pomorskie,PUP Bydgoszcz,https://bydgoszcz.praca.gov.pl/strona-glowna,true
chelmno,KFS,kujawsko-pomorskie,PUP Chełmno,https://chelmno.praca.gov.pl/strona-glowna,true
golub,KFS,kujawsko-pomorskie,PUP Golub-Dobrzyń,https://golub-dobrzyn.praca.gov.pl/strona-glowna,true
grudziadz,KFS,kujawsko-pomorskie,PUP Grudziądz,https://grudziadz.praca.gov.pl/strona-glowna,true
inowroclaw,KFS,kujawsko-pomorskie,PUP Inowrocław,https://inowroclaw.praca.gov.pl/strona-glowna,true
lipno,KFS,kujawsko-pomorskie,PUP Lipno,https://lipno.praca.gov.pl/strona-glowna,true
mogilno,KFS,kujawsko-pomorskie,PUP Mogilno,https://mogilno.praca.gov.pl/strona-glowna,true
naklo,KFS,kujawsko-pomorskie,PUP Nakło nad Notecią,https://naklo.praca.gov.pl/strona-glowna,true
radziejow,KFS,kujawsko-pomorskie,PUP Radziejów,https://radziejow.praca.gov.pl/strona-glowna,true
rypin,KFS,kujawsko-pomorskie,PUP Rypin,https://rypin.praca.gov.pl/strona-glowna,true
sepolno,KFS,kujawsko-pomorskie,PUP Sępólno Krajeńskie,https://sepolnokrajenskie.praca.gov.pl/strona-glowna,true
